rank_diff,upset_rate,n_matches,group
1,0.4778156996587031,586,All matches
1,0.6,20,High-ace favorite vs ace-vulnerable underdog
1,0.6875,16,High-ace underdog vs ace-vulnerable favorite
2,0.35,20,High-ace favorite vs ace-vulnerable underdog
2,0.4726027397260274,584,All matches
2,0.8235294117647058,17,High-ace underdog vs ace-vulnerable favorite
3,0.20689655172413793,29,High-ace favorite vs ace-vulnerable underdog
3,0.3888888888888889,18,High-ace underdog vs ace-vulnerable favorite
3,0.4716981132075472,636,All matches
4,0.4117647058823529,17,High-ace favorite vs ace-vulnerable underdog
4,0.44481054365733114,607,All matches
4,0.5882352941176471,17,High-ace underdog vs ace-vulnerable favorite
5,0.2727272727272727,22,High-ace favorite vs ace-vulnerable underdog
5,0.43781942078364566,587,All matches
5,0.55,20,High-ace underdog vs ace-vulnerable favorite
6,0.2916666666666667,24,High-ace favorite vs ace-vulnerable underdog
6,0.4400684931506849,584,All matches
6,0.5,18,High-ace underdog vs ace-vulnerable favorite
7,0.43645484949832775,598,All matches
7,0.6190476190476191,21,High-ace favorite vs ace-vulnerable underdog
7,0.7333333333333333,15,High-ace underdog vs ace-vulnerable favorite
8,0.4166666666666667,12,High-ace underdog vs ace-vulnerable favorite
8,0.4198198198198198,555,All matches
8,0.42105263157894735,19,High-ace favorite vs ace-vulnerable underdog
9,0.41605839416058393,548,All matches
9,0.47368421052631576,19,High-ace underdog vs ace-vulnerable favorite
9,0.5,20,High-ace favorite vs ace-vulnerable underdog
10,0.2692307692307692,26,High-ace favorite vs ace-vulnerable underdog
10,0.41316270566727603,547,All matches
10,0.5625,16,High-ace underdog vs ace-vulnerable favorite
11,0.36363636363636365,22,High-ace favorite vs ace-vulnerable underdog
11,0.4491682070240296,541,All matches
11,0.5294117647058824,17,High-ace underdog vs ace-vulnerable favorite
12,0.34782608695652173,23,High-ace favorite vs ace-vulnerable underdog
12,0.43478260869565216,506,All matches
12,0.5,20,High-ace underdog vs ace-vulnerable favorite
13,0.36666666666666664,30,High-ace favorite vs ace-vulnerable underdog
13,0.411864406779661,590,All matches
13,0.5833333333333334,12,High-ace underdog vs ace-vulnerable favorite
14,0.3800383877159309,521,All matches
14,0.41379310344827586,29,High-ace favorite vs ace-vulnerable underdog
14,0.55,20,High-ace underdog vs ace-vulnerable favorite
15,0.3333333333333333,30,High-ace favorite vs ace-vulnerable underdog
15,0.425891181988743,533,All matches
15,0.6153846153846154,13,High-ace underdog vs ace-vulnerable favorite
16,0.2857142857142857,21,High-ace favorite vs ace-vulnerable underdog
16,0.4104627766599598,497,All matches
16,0.4666666666666667,15,High-ace underdog vs ace-vulnerable favorite
17,0.42771084337349397,498,All matches
17,0.43478260869565216,23,High-ace underdog vs ace-vulnerable favorite
17,0.4838709677419355,31,High-ace favorite vs ace-vulnerable underdog
18,0.4,25,High-ace favorite vs ace-vulnerable underdog
18,0.4166666666666667,12,High-ace underdog vs ace-vulnerable favorite
18,0.4215885947046843,491,All matches
19,0.3983739837398374,492,All matches
19,0.46153846153846156,13,High-ace underdog vs ace-vulnerable favorite
19,0.46153846153846156,26,High-ace favorite vs ace-vulnerable underdog
20,0.23809523809523808,21,High-ace favorite vs ace-vulnerable underdog
20,0.3550420168067227,476,All matches
20,0.6363636363636364,11,High-ace underdog vs ace-vulnerable favorite
21,0.3962655601659751,482,All matches
21,0.4117647058823529,17,High-ace underdog vs ace-vulnerable favorite
21,0.4444444444444444,27,High-ace favorite vs ace-vulnerable underdog
22,0.3333333333333333,24,High-ace favorite vs ace-vulnerable underdog
22,0.39250493096646943,507,All matches
22,0.5454545454545454,11,High-ace underdog vs ace-vulnerable favorite
23,0.2857142857142857,28,High-ace favorite vs ace-vulnerable underdog
23,0.3849129593810445,517,All matches
23,0.5333333333333333,15,High-ace underdog vs ace-vulnerable favorite
24,0.2413793103448276,29,High-ace favorite vs ace-vulnerable underdog
24,0.367112810707457,523,All matches
24,0.55,20,High-ace underdog vs ace-vulnerable favorite
25,0.35714285714285715,28,High-ace favorite vs ace-vulnerable underdog
25,0.3857442348008386,477,All matches
25,0.46153846153846156,13,High-ace underdog vs ace-vulnerable favorite
